Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,320.5299987792969,322.1300048828125,320.1499938964844,321.8599853515625,300.32696533203125,57077300
2020-01-02,323.5400085449219,324.8900146484375,322.5299987792969,324.8699951171875,303.1356506347656,59151200
2020-01-03,321.1600036621094,323.6400146484375,321.1000061035156,322.4100036621094,300.8401794433594,77709700
2020-01-06,320.489990234375,323.7300109863281,320.3599853515625,323.6400146484375,301.98785400390625,55653900
2020-01-07,323.0199890136719,323.5400085449219,322.239990234375,322.7300109863281,301.1387939453125,40496400
2020-01-08,322.94000244140625,325.7799987792969,322.6700134277344,324.45001220703125,302.7436218261719,68296000
2020-01-09,326.1600036621094,326.7300109863281,325.5199890136719,326.6499938964844,304.7965087890625,48473300
2020-01-10,327.2900085449219,327.4599914550781,325.20001220703125,325.7099914550781,303.91943359375,53029300
2020-01-13,326.3900146484375,327.9599914550781,325.9200134277344,327.95001220703125,306.0095520019531,47086800
2020-01-14,327.4700012207031,328.6199951171875,326.8399963378906,327.45001220703125,305.54296875,62832800
2020-01-15,327.3500061035156,329.0199890136719,327.260009765625,328.19000244140625,306.2334899902344,72056600
2020-01-16,329.70001220703125,330.9200134277344,329.45001220703125,330.9200134277344,308.7808532714844,54050300
2020-01-17,331.70001220703125,332.17999267578125,330.8500061035156,331.95001220703125,309.7419128417969,95846000
2020-01-21,330.8999938964844,332.17999267578125,330.82000732421875,331.29998779296875,309.1353454589844,77742400
2020-01-22,332.239990234375,332.95001220703125,331.1700134277344,331.3399963378906,309.17266845703125,48914900
2020-01-23,330.6300048828125,332.1700134277344,329.4100036621094,331.7200012207031,309.52734375,51963000
2020-01-24,332.44000244140625,332.5299987792969,327.3599853515625,328.7699890136719,306.774658203125,87578400
2020-01-27,323.0299987792969,325.1199951171875,322.6600036621094,323.5,301.8572082519531,84062500
2020-01-28,325.05999755859375,327.8500061035156,323.6000061035156,326.8900146484375,305.0204772949219,63834000
2020-01-29,328.3800048828125,328.6300048828125,326.3999938964844,326.6199951171875,304.7685546875,53888900
2020-01-30,324.3599853515625,327.9100036621094,323.5400085449219,327.67999267578125,305.757568359375,75491800
2020-01-31,327.0,327.1700134277344,320.7300109863281,321.7300109863281,300.2056884765625,113845600
2020-02-03,323.3500061035156,326.1600036621094,323.2200012207031,324.1199951171875,302.4357604980469,69083000
2020-02-04,328.07000732421875,330.010009765625,327.7200012207031,329.05999755859375,307.04522705078125,62573200
2020-02-05,332.2699890136719,333.0899963378906,330.6700134277344,332.8599853515625,310.59100341796875,65951100
2020-02-06,333.9100036621094,334.19000244140625,332.79998779296875,333.9800109863281,311.6361083984375,50359700
2020-02-07,332.82000732421875,333.989990234375,331.6000061035156,332.20001220703125,309.97528076171875,64139400
2020-02-10,331.2300109863281,334.75,331.19000244140625,334.67999267578125,312.2892761230469,42070000
2020-02-11,336.1600036621094,337.0199890136719,334.67999267578125,335.260009765625,312.8305358886719,54864500
2020-02-12,336.8299865722656,337.6499938964844,336.42999267578125,337.4200134277344,314.845947265625,43992700
2020-02-13,335.8599853515625,338.1199951171875,335.55999755859375,337.05999755859375,314.5101013183594,54501900
2020-02-14,337.510009765625,337.7300109863281,336.20001220703125,337.6000061035156,315.013916015625,64582200
2020-02-18,336.510009765625,337.6700134277344,335.2099914550781,336.7300109863281,314.2021179199219,57226200
2020-02-19,337.7900085449219,339.0799865722656,337.4800109863281,338.3399963378906,315.7044372558594,48814700
2020-02-20,337.739990234375,338.6400146484375,333.67999267578125,336.95001220703125,314.40740966796875,74163400
2020-02-21,335.4700012207031,335.80999755859375,332.5799865722656,333.4800109863281,311.16961669921875,113788200
2020-02-24,323.1400146484375,333.55999755859375,321.239990234375,322.4200134277344,300.8494873046875,161088400
2020-02-25,323.94000244140625,324.6099853515625,311.69000244140625,312.6499938964844,291.7331237792969,218913200
2020-02-26,314.17999267578125,318.1099853515625,310.70001220703125,311.5,290.6600646972656,194773800
2020-02-27,305.4599914550781,311.55999755859375,297.510009765625,297.510009765625,277.6060791015625,284353500
2020-02-28,288.70001220703125,297.8900146484375,285.5400085449219,296.260009765625,276.43963623046875,384975800
2020-03-02,298.2099914550781,309.1600036621094,294.4599914550781,309.0899963378906,288.41131591796875,238703600
2020-03-03,309.5,313.8399963378906,297.57000732421875,300.239990234375,280.1533508300781,300139100
2020-03-04,306.1199951171875,313.1000061035156,303.3299865722656,312.8599853515625,291.9290466308594,176613400
2020-03-05,304.9800109863281,308.4700012207031,300.010009765625,302.4599914550781,282.2248229980469,186366800
2020-03-06,293.1499938964844,298.7799987792969,290.2300109863281,297.4599914550781,277.559326171875,228667200
2020-03-09,275.29998779296875,284.19000244140625,273.45001220703125,274.2300109863281,255.88345336914062,309417300
2020-03-10,284.6400146484375,288.5199890136719,273.5,288.4200134277344,269.1241455078125,276444100
2020-03-11,280.70001220703125,281.94000244140625,270.8800048828125,274.3599853515625,256.00482177734375,255316300
2020-03-12,256.0,266.6600036621094,247.67999267578125,248.11000061035156,231.51100158691406,392220700
2020-03-13,263.0899963378906,271.4800109863281,248.52000427246094,269.32000732421875,251.30198669433594,329566100
2020-03-16,241.17999267578125,256.8999938964844,237.36000061035156,239.85000610351562,223.80361938476562,297240000
2020-03-17,245.0399932861328,256.1700134277344,237.07000732421875,252.8000030517578,235.88719177246094,262070500
2020-03-18,236.25,248.3699951171875,228.02000427246094,240.0,223.94357299804688,327597100
2020-03-19,239.25,247.3800048828125,232.22000122070312,240.50999450683594,224.41943359375,289322000
2020-03-20,242.52999877929688,244.47000122070312,228.5,228.8000030517578,214.748291015625,347158800
2020-03-23,228.19000244140625,229.67999267578125,218.25999450683594,222.9499969482422,209.2575225830078,326025200
2020-03-24,234.4199981689453,244.10000610351562,233.8000030517578,243.14999389648438,228.21694946289062,235494500
2020-03-25,244.8699951171875,256.3500061035156,239.75,246.7899932861328,231.63339233398438,299430300
2020-03-26,249.52000427246094,262.79998779296875,249.0500030517578,261.20001220703125,245.15843200683594,257632800
2020-03-27,253.27000427246094,260.80999755859375,251.0500030517578,253.4199981689453,237.856201171875,224341200
2020-03-30,255.6999969482422,262.42999267578125,253.52999877929688,261.6499938964844,245.5807342529297,171369500
2020-03-31,260.55999755859375,263.3299865722656,256.2200012207031,257.75,241.92031860351562,194881100
2020-04-01,247.97999572753906,257.6600036621094,243.89999389648438,246.14999389648438,231.03271484375,189554600
2020-04-02,245.19000244140625,252.67999267578125,244.58999633789062,251.8300018310547,236.36387634277344,177660400
2020-04-03,250.75999450683594,253.32000732421875,245.22000122070312,248.19000244140625,232.9474334716797,135561200
2020-04-06,257.8399963378906,267.0,248.1699981689453,264.8599853515625,248.59365844726562,188061200
2020-04-07,274.2099914550781,275.0299987792969,264.8900146484375,265.1300048828125,248.84710693359375,201427200
2020-04-08,267.9599914550781,276.0,265.25,274.0299987792969,257.200439453125,153774500
2020-04-09,277.5799865722656,281.20001220703125,275.4700012207031,278.20001220703125,261.1143798828125,189999200
