,SPY,CVNA,XOM,AMZN,GLD
2020-03-31,241.9203186035156,55.09000015258789,30.468931198120117,97.48600006103516,148.0500030517578
2020-04-01,231.03271484375,50.560001373291016,30.11585807800293,95.38500213623048,149.4499969482422
2020-04-02,236.36387634277344,46.61000061035156,32.41887664794922,95.94149780273438,151.89999389648438
2020-04-03,232.9474334716797,45.90999984741211,31.463972091674805,95.32949829101562,152.64999389648438
2020-04-04,,,,,
2020-04-05,,,,,
2020-04-06,248.5936584472656,52.83000183105469,32.47505569458008,99.87950134277344,156.8800048828125
2020-04-07,248.84710693359375,55.529998779296875,33.09293746948242,100.58000183105467,156.0399932861328
2020-04-08,257.200439453125,58.47999954223633,35.187320709228516,102.1500015258789,154.64999389648438
2020-04-09,261.1143798828125,61.349998474121094,34.60956573486328,102.13800048828124,158.69000244140625
2020-04-10,,,,,
2020-04-11,,,,,
2020-04-12,,,,,
2020-04-13,258.7303466796875,75.27999877929688,34.312652587890625,108.44349670410156,161.41000366210938
2020-04-14,266.3611145019531,84.08000183105469,34.04784393310547,114.16600036621094,162.67999267578125
2020-04-15,260.7013244628906,71.33999633789062,32.48307800292969,115.38400268554688,161.85000610351562
2020-04-16,261.9590759277344,71.22000122070312,31.415817260742188,120.40950012207033,161.7100067138672
2020-04-17,269.0360107421875,78.05999755859375,34.681785583496094,118.75,158.57000732421875
2020-04-18,,,,,
2020-04-19,,,,,
2020-04-20,264.29620361328125,80.30000305175781,33.04479217529297,119.68049621582033,159.6999969482422
2020-04-21,256.2712707519531,85.58000183105469,32.868247985839844,116.40599822998048,158.61000061035156
2020-04-22,261.9590759277344,82.66999816894531,33.8071174621582,118.17449951171876,161.72999572753906
2020-04-23,261.9403076171875,87.80999755859375,34.86634063720703,119.97250366210938,163.33999633789062
2020-04-24,265.5914001464844,92.23999786376952,35.091026306152344,120.51100158691406,162.63999938964844
2020-04-25,,,,,
2020-04-26,,,,,
2020-04-27,269.42083740234375,90.30999755859376,35.25954818725586,118.8000030517578,161.55999755859375
2020-04-28,268.1819152832031,82.95999908447266,36.086063385009766,115.7040023803711,160.83999633789062
2020-04-29,275.20245361328125,84.88999938964844,38.08415603637695,118.635498046875,161.72999572753906
2020-04-30,272.6401062011719,80.11000061035156,37.28973388671875,123.6999969482422,158.8000030517578
2020-05-01,265.4225158691406,76.0,34.61758804321289,114.302001953125,159.77999877929688
2020-05-02,,,,,
2020-05-03,,,,,
2020-05-04,266.15460205078125,80.01000213623047,36.01384353637695,115.79949951171876,160.33999633789062
2020-05-05,268.61370849609375,86.0,35.973724365234375,115.88999938964844,161.02000427246094
2020-05-06,266.79278564453125,91.1500015258789,35.29966354370117,117.56300354003906,158.9499969482422
2020-05-07,270.01214599609375,97.66999816894533,35.500282287597656,118.38050079345705,161.38999938964844
2020-05-08,274.47979736328125,100.08999633789062,37.05702590942383,118.98049926757812,160.4199981689453
2020-05-09,,,,,
2020-05-10,,,,,
2020-05-11,274.53607177734375,100.66999816894533,36.70395278930664,120.4499969482422,159.4199981689453
2020-05-12,269.064208984375,93.72000122070312,36.0904426574707,117.84750366210938,160.0399932861328
2020-05-13,264.3055114746094,89.9000015258789,34.29900360107422,118.39600372314452,161.5800018310547
2020-05-14,267.4685363769531,89.55000305175781,34.6016731262207,119.44249725341795,163.00999450683594
2020-05-15,268.6980895996094,92.66000366210938,34.35626983642578,120.48899841308594,163.92999267578125
2020-05-16,,,,,
2020-05-17,,,,,
2020-05-18,276.8825988769531,98.58999633789062,37.088417053222656,121.31300354003906,162.69000244140625
2020-05-19,274.0386657714844,88.91000366210938,35.94320297241211,122.46649932861328,164.25999450683594
2020-05-20,278.69403076171875,91.11000061035156,37.11295318603515,124.89700317382812,164.64999389648438
2020-05-21,276.7699279785156,94.73999786376952,36.45037841796875,122.33699798583984,162.25
2020-05-22,277.2955017089844,96.4499969482422,36.48307800292969,121.84400177001952,163.2100067138672
2020-05-23,,,,,
2020-05-24,,,,,
2020-05-25,,,,,
2020-05-26,280.7120056152344,99.19000244140624,37.5546760559082,121.09300231933594,160.88999938964844
2020-05-27,284.88873291015625,96.13999938964844,37.82461929321289,120.51950073242188,161.17999267578125
2020-05-28,284.36309814453125,93.29000091552734,36.843017578125,120.05500030517578,161.72000122070312
2020-05-29,285.6300964355469,92.9800033569336,37.19476318359375,122.11849975585938,162.91000366210938
2020-05-30,,,,,
2020-05-31,,,,,
2020-06-01,286.7846374511719,91.8499984741211,37.85733795166016,123.552001953125,163.66000366210938
2020-06-02,289.1592712402344,109.12000274658205,38.69988632202149,123.62049865722656,162.60000610351562
2020-06-03,293.0074157714844,107.38999938964844,40.27864074707031,123.91999816894533,159.60000610351562
2020-06-04,292.2378845214844,102.0,40.16411590576172,123.02999877929688,161.27999877929688
2020-06-05,299.7277526855469,115.87000274658205,43.41978073120117,124.1500015258789,158.00999450683594
2020-06-06,,,,,
2020-06-07,,,,,
2020-06-08,303.3506774902344,113.63999938964844,44.777679443359375,126.2030029296875,159.72000122070312
2020-06-09,301.0886535644531,113.5500030517578,43.77970123291016,130.04299926757812,161.25999450683594
2020-06-10,299.4085998535156,118.8000030517578,41.43202590942383,132.37249755859375,163.57000732421875
2020-06-11,282.14794921875,107.26000213623048,37.77553939819336,127.89800262451172,162.38999938964844
2020-06-12,285.52685546875,111.20999908447266,38.58536148071289,127.2509994506836,162.6199951171875
2020-06-13,,,,,
2020-06-14,,,,,
2020-06-15,288.1925354003906,114.31999969482422,38.560829162597656,128.63400268554688,162.3300018310547
