,XOM,GOOG,AAPL,IBM,W
2020-08-04,,,,,
2020-08-05,,,,,
2020-08-06,,,,,
2020-08-07,,,,,
2020-08-11,0.013813755298605427,0.011429192805748311,0.02581531736742039,0.006400843041286196,0.02103659930605003
2020-08-12,0.0072326485895150335,0.012739365925215927,0.030257019435163623,0.0038406104385888215,0.029909328669863122
2020-08-13,0.012628510074027913,0.012785639874670112,0.03087846972558157,0.007315345269666663,0.030910321893840974
2020-08-14,0.013276300957371768,0.011712450500956147,0.0265455737224945,0.006650187233219153,0.03072411538811661
